geoid,year,NAME,B01001_001E,B19013_001E,B25077_001E,B03002_003E,B03002_004E,B02001_004E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,state,county,tract
06075010100,2009,"Census Tract 101, San Francisco County, California",3685.0,50368.0,720200.0,1814.0,605.0,0.0,967.0,20.0,0.0,46.0,233.0,06,075,010100
06075010200,2009,"Census Tract 102, San Francisco County, California",4354.0,89722.0,1000001.0,3306.0,23.0,0.0,387.0,0.0,0.0,74.0,564.0,06,075,010200
06075010300,2009,"Census Tract 103, San Francisco County, California",3736.0,82118.0,1000001.0,2159.0,85.0,9.0,1184.0,9.0,0.0,93.0,197.0,06,075,010300
06075010400,2009,"Census Tract 104, San Francisco County, California",4481.0,74850.0,855300.0,2960.0,0.0,0.0,1203.0,0.0,20.0,36.0,262.0,06,075,010400
06075010500,2009,"Census Tract 105, San Francisco County, California",2415.0,119290.0,947500.0,1765.0,11.0,0.0,381.0,0.0,50.0,57.0,151.0,06,075,010500
06075010600,2009,"Census Tract 106, San Francisco County, California",4018.0,38750.0,720800.0,1336.0,182.0,22.0,2021.0,0.0,0.0,135.0,322.0,06,075,010600
06075010700,2009,"Census Tract 107, San Francisco County, California",5376.0,20961.0,921900.0,761.0,48.0,25.0,4324.0,0.0,0.0,0.0,218.0,06,075,010700
06075010800,2009,"Census Tract 108, San Francisco County, California",4789.0,84718.0,1000001.0,2289.0,67.0,12.0,2271.0,17.0,0.0,83.0,50.0,06,075,010800
06075010900,2009,"Census Tract 109, San Francisco County, California",4377.0,74052.0,875600.0,3037.0,31.0,191.0,860.0,0.0,7.0,103.0,148.0,06,075,010900
06075011000,2009,"Census Tract 110, San Francisco County, California",5502.0,50707.0,685100.0,2360.0,16.0,0.0,2715.0,0.0,0.0,37.0,374.0,06,075,011000
06075011100,2009,"Census Tract 111, San Francisco County, California",5024.0,50226.0,781300.0,2259.0,129.0,18.0,1954.0,0.0,29.0,184.0,451.0,06,075,011100
06075011200,2009,"Census Tract 112, San Francisco County, California",3670.0,72052.0,835500.0,2252.0,11.0,0.0,1291.0,0.0,0.0,66.0,50.0,06,075,011200
06075011300,2009,"Census Tract 113, San Francisco County, California",3451.0,16983.0,642100.0,289.0,40.0,0.0,3083.0,4.0,0.0,12.0,23.0,06,075,011300
06075011400,2009,"Census Tract 114, San Francisco County, California",3067.0,15077.0,708300.0,21.0,9.0,0.0,3021.0,16.0,0.0,0.0,0.0,06,075,011400
06075011500,2009,"Census Tract 115, San Francisco County, California",773.0,14397.0,,144.0,24.0,0.0,567.0,11.0,0.0,19.0,8.0,06,075,011500
06075011700,2009,"Census Tract 117, San Francisco County, California",1531.0,23160.0,933800.0,560.0,108.0,9.0,746.0,0.0,0.0,36.0,72.0,06,075,011700
06075011800,2009,"Census Tract 118, San Francisco County, California",1563.0,24631.0,1000001.0,67.0,0.0,0.0,1472.0,0.0,0.0,0.0,24.0,06,075,011800
06075011900,2009,"Census Tract 119, San Francisco County, California",4704.0,48644.0,517700.0,2759.0,83.0,55.0,1137.0,24.0,24.0,129.0,548.0,06,075,011900
06075012000,2009,"Census Tract 120, San Francisco County, California",3405.0,34923.0,,1714.0,100.0,0.0,1134.0,0.0,63.0,113.0,281.0,06,075,012000
06075012100,2009,"Census Tract 121, San Francisco County, California",2579.0,27125.0,478800.0,1516.0,38.0,21.0,850.0,11.0,0.0,48.0,95.0,06,075,012100
06075012200,2009,"Census Tract 122, San Francisco County, California",6434.0,32025.0,434000.0,2250.0,482.0,0.0,1847.0,0.0,33.0,130.0,1692.0,06,075,012200
06075012300,2009,"Census Tract 123, San Francisco County, California",4581.0,22150.0,495800.0,1585.0,434.0,42.0,1189.0,8.0,0.0,149.0,1174.0,06,075,012300
06075012400,2009,"Census Tract 124, San Francisco County, California",6923.0,18761.0,604800.0,2080.0,745.0,89.0,1807.0,43.0,28.0,292.0,1923.0,06,075,012400
06075012500,2009,"Census Tract 125, San Francisco County, California",6317.0,11536.0,920500.0,1952.0,1126.0,69.0,2225.0,119.0,0.0,102.0,746.0,06,075,012500
06075012600,2009,"Census Tract 126, San Francisco County, California",4804.0,108983.0,1000001.0,3975.0,0.0,43.0,387.0,0.0,0.0,148.0,251.0,06,075,012600
06075012700,2009,"Census Tract 127, San Francisco County, California",3410.0,103750.0,1000001.0,2904.0,0.0,0.0,273.0,0.0,0.0,17.0,216.0,06,075,012700
06075012800,2009,"Census Tract 128, San Francisco County, California",4214.0,110771.0,1000001.0,3362.0,94.0,23.0,425.0,0.0,0.0,151.0,159.0,06,075,012800
06075012900,2009,"Census Tract 129, San Francisco County, California",5790.0,91812.0,1000001.0,4632.0,0.0,42.0,522.0,174.0,38.0,24.0,388.0,06,075,012900
06075013000,2009,"Census Tract 130, San Francisco County, California",3861.0,94628.0,1000001.0,3227.0,0.0,7.0,359.0,0.0,0.0,47.0,221.0,06,075,013000
06075013100,2009,"Census Tract 131, San Francisco County, California",7140.0,104775.0,983200.0,5627.0,197.0,18.0,856.0,0.0,0.0,155.0,287.0,06,075,013100
06075013200,2009,"Census Tract 132, San Francisco County, California",5053.0,136250.0,1000001.0,4273.0,14.0,11.0,410.0,0.0,75.0,102.0,168.0,06,075,013200
06075013300,2009,"Census Tract 133, San Francisco County, California",3766.0,111833.0,1000001.0,3056.0,0.0,0.0,396.0,11.0,0.0,174.0,129.0,06,075,013300
06075013400,2009,"Census Tract 134, San Francisco County, California",3541.0,117115.0,1000001.0,2815.0,199.0,0.0,345.0,0.0,0.0,69.0,113.0,06,075,013400
06075013500,2009,"Census Tract 135, San Francisco County, California",2893.0,91172.0,1000001.0,2281.0,53.0,0.0,325.0,0.0,40.0,45.0,149.0,06,075,013500
06075015100,2009,"Census Tract 151, San Francisco County, California",2089.0,76422.0,615700.0,1272.0,17.0,0.0,553.0,0.0,8.0,82.0,157.0,06,075,015100
06075015200,2009,"Census Tract 152, San Francisco County, California",4009.0,65000.0,918300.0,2994.0,66.0,0.0,677.0,0.0,22.0,14.0,236.0,06,075,015200
06075015300,2009,"Census Tract 153, San Francisco County, California",2047.0,84063.0,1000001.0,1477.0,199.0,0.0,222.0,0.0,0.0,29.0,120.0,06,075,015300
06075015400,2009,"Census Tract 154, San Francisco County, California",5922.0,82965.0,1000001.0,4070.0,97.0,0.0,1285.0,0.0,12.0,185.0,273.0,06,075,015400
06075015500,2009,"Census Tract 155, San Francisco County, California",3662.0,47010.0,599300.0,1801.0,172.0,19.0,1359.0,0.0,40.0,55.0,216.0,06,075,015500
