geoid,year,NAME,B01001_001E,B19013_001E,B25077_001E,B03002_003E,B03002_004E,B02001_004E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,state,county,tract
06075010100,2014,"Census Tract 101, San Francisco County, California",3827.0,75725.0,799800.0,1723.0,67.0,15.0,1403.0,0.0,15.0,206.0,413.0,06,075,010100
06075010200,2014,"Census Tract 102, San Francisco County, California",4220.0,108976.0,1000001.0,3568.0,21.0,0.0,359.0,0.0,0.0,170.0,102.0,06,075,010200
06075010300,2014,"Census Tract 103, San Francisco County, California",4346.0,89646.0,1000001.0,2458.0,0.0,0.0,1487.0,0.0,0.0,58.0,343.0,06,075,010300
06075010400,2014,"Census Tract 104, San Francisco County, California",5265.0,101463.0,975100.0,2975.0,0.0,0.0,1496.0,0.0,47.0,282.0,465.0,06,075,010400
06075010500,2014,"Census Tract 105, San Francisco County, California",2606.0,111531.0,946700.0,1566.0,43.0,0.0,652.0,20.0,20.0,193.0,112.0,06,075,010500
06075010600,2014,"Census Tract 106, San Francisco County, California",3664.0,28750.0,1000001.0,1053.0,27.0,0.0,2210.0,0.0,0.0,60.0,314.0,06,075,010600
06075010700,2014,"Census Tract 107, San Francisco County, California",5311.0,23235.0,1000001.0,1075.0,151.0,0.0,3950.0,0.0,0.0,0.0,135.0,06,075,010700
06075010800,2014,"Census Tract 108, San Francisco County, California",4779.0,81513.0,946300.0,2040.0,0.0,9.0,2286.0,0.0,0.0,135.0,309.0,06,075,010800
06075010900,2014,"Census Tract 109, San Francisco County, California",4740.0,109662.0,951400.0,3058.0,60.0,0.0,1303.0,0.0,28.0,26.0,265.0,06,075,010900
06075011000,2014,"Census Tract 110, San Francisco County, California",5303.0,93932.0,667100.0,2451.0,70.0,0.0,2302.0,0.0,0.0,167.0,313.0,06,075,011000
06075011100,2014,"Census Tract 111, San Francisco County, California",5078.0,63346.0,799100.0,2767.0,171.0,0.0,1524.0,0.0,0.0,119.0,497.0,06,075,011100
06075011200,2014,"Census Tract 112, San Francisco County, California",3078.0,71172.0,1000001.0,1569.0,41.0,1.0,1141.0,52.0,0.0,87.0,187.0,06,075,011200
06075011300,2014,"Census Tract 113, San Francisco County, California",3058.0,25904.0,900000.0,578.0,97.0,21.0,2244.0,5.0,0.0,80.0,33.0,06,075,011300
06075011700,2014,"Census Tract 117, San Francisco County, California",1547.0,37455.0,1000001.0,468.0,114.0,0.0,683.0,0.0,0.0,98.0,184.0,06,075,011700
06075011800,2014,"Census Tract 118, San Francisco County, California",1740.0,20547.0,-666666666.0,117.0,2.0,14.0,1506.0,0.0,0.0,9.0,92.0,06,075,011800
06075011901,2014,"Census Tract 119.01, San Francisco County, California",2543.0,58641.0,622000.0,1276.0,164.0,24.0,751.0,0.0,26.0,59.0,267.0,06,075,011901
06075011902,2014,"Census Tract 119.02, San Francisco County, California",2625.0,58657.0,477100.0,1145.0,55.0,0.0,807.0,0.0,14.0,120.0,484.0,06,075,011902
06075012000,2014,"Census Tract 120, San Francisco County, California",3563.0,36134.0,687500.0,1640.0,342.0,0.0,957.0,0.0,11.0,303.0,310.0,06,075,012000
