geoid,year,NAME,B01001_001E,B19013_001E,B25077_001E,B03002_003E,B03002_004E,B02001_004E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,state,county,tract
06075031302,2016,"Census Tract 313.02, San Francisco County, California",5989,67438.0,582800.0,652.0,532.0,0.0,3259.0,0.0,49.0,378.0,1119.0,06,075,031302
06075031400,2016,"Census Tract 314, San Francisco County, California",6990,59487.0,622700.0,685.0,951.0,10.0,3591.0,0.0,37.0,113.0,1612.0,06,075,031400
06075032601,2016,"Census Tract 326.01, San Francisco County, California",4908,95854.0,865300.0,1708.0,39.0,0.0,2466.0,0.0,9.0,346.0,340.0,06,075,032601
06075032602,2016,"Census Tract 326.02, San Francisco County, California",4662,80357.0,870900.0,1419.0,19.0,3.0,2709.0,0.0,27.0,218.0,267.0,06,075,032602
06075032700,2016,"Census Tract 327, San Francisco County, California",7113,103648.0,901700.0,2346.0,1.0,0.0,3912.0,56.0,0.0,458.0,340.0,06,075,032700
06075032801,2016,"Census Tract 328.01, San Francisco County, California",4207,79764.0,854400.0,1298.0,32.0,5.0,2440.0,0.0,29.0,93.0,310.0,06,075,032801
06075032802,2016,"Census Tract 328.02, San Francisco County, California",4383,84946.0,762100.0,949.0,131.0,8.0,2918.0,14.0,19.0,202.0,142.0,06,075,032802
06075032901,2016,"Census Tract 329.01, San Francisco County, California",5757,83169.0,851800.0,1563.0,49.0,0.0,3392.0,42.0,14.0,288.0,409.0,06,075,032901
06075032902,2016,"Census Tract 329.02, San Francisco County, California",4463,96208.0,766000.0,1085.0,37.0,0.0,2952.0,0.0,0.0,181.0,208.0,06,075,032902
06075033000,2016,"Census Tract 330, San Francisco County, California",8165,83896.0,891500.0,2934.0,53.0,33.0,4263.0,0.0,26.0,195.0,661.0,06,075,033000
06075033100,2016,"Census Tract 331, San Francisco County, California",4042,108018.0,992700.0,1581.0,15.0,0.0,2240.0,0.0,0.0,39.0,167.0,06,075,033100
06075033201,2016,"Census Tract 332.01, San Francisco County, California",4165,22895.0,-666666666.0,1486.0,244.0,0.0,820.0,24.0,0.0,317.0,1274.0,06,075,033201
06075033203,2016,"Census Tract 332.03, San Francisco County, California",4212,50946.0,-666666666.0,1691.0,230.0,0.0,1379.0,0.0,84.0,156.0,672.0,06,075,033203
06075033204,2016,"Census Tract 332.04, San Francisco County, California",4262,44922.0,-666666666.0,1344.0,342.0,32.0,1569.0,0.0,99.0,205.0,671.0,06,075,033204
06075035100,2016,"Census Tract 351, San Francisco County, California",8868,107482.0,839800.0,3064.0,89.0,18.0,4633.0,1.0,15.0,358.0,690.0,06,075,035100
06075035201,2016,"Census Tract 352.01, San Francisco County, California",5841,84817.0,801900.0,2156.0,8.0,1.0,3210.0,0.0,0.0,145.0,321.0,06,075,035201
06075035202,2016,"Census Tract 352.02, San Francisco County, California",4650,78542.0,742900.0,1935.0,102.0,0.0,1907.0,55.0,46.0,298.0,307.0,06,075,035202
06075035300,2016,"Census Tract 353, San Francisco County, California",7514,80352.0,744100.0,1730.0,60.0,12.0,4879.0,14.0,28.0,281.0,510.0,06,075,035300
06075035400,2016,"Census Tract 354, San Francisco County, California",6473,87598.0,784600.0,2099.0,183.0,0.0,3724.0,0.0,186.0,141.0,140.0,06,075,035400
06075040100,2016,"Census Tract 401, San Francisco County, California",4525,93875.0,1165700.0,2530.0,40.0,0.0,1598.0,24.0,19.0,141.0,173.0,06,075,040100
06075040200,2016,"Census Tract 402, San Francisco County, California",5563,83867.0,1467300.0,2831.0,98.0,0.0,1943.0,0.0,77.0,174.0,440.0,06,075,040200
06075042601,2016,"Census Tract 426.01, San Francisco County, California",4175,70100.0,894700.0,2016.0,111.0,6.0,1493.0,0.0,9.0,100.0,440.0,06,075,042601
06075042602,2016,"Census Tract 426.02, San Francisco County, California",3090,104943.0,991700.0,1689.0,28.0,0.0,1013.0,0.0,29.0,156.0,175.0,06,075,042602
06075042700,2016,"Census Tract 427, San Francisco County, California",4897,56765.0,917100.0,2086.0,139.0,0.0,2200.0,26.0,0.0,195.0,251.0,06,075,042700
06075042800,2016,"Census Tract 428, San Francisco County, California",2456,181125.0,2000001.0,1753.0,0.0,0.0,423.0,0.0,5.0,144.0,131.0,06,075,042800
06075045100,2016,"Census Tract 451, San Francisco County, California",5093,91206.0,1123700.0,2386.0,120.0,8.0,1871.0,37.0,10.0,85.0,576.0,06,075,045100
06075045200,2016,"Census Tract 452, San Francisco County, California",7322,87664.0,1099700.0,3292.0,55.0,12.0,2567.0,0.0,0.0,580.0,816.0,06,075,045200
06075047600,2016,"Census Tract 476, San Francisco County, California",5647,84625.0,1081500.0,2249.0,52.0,1.0,2824.0,45.0,0.0,186.0,290.0,06,075,047600
