geoid,year,NAME,B01001_001E,B19013_001E,B25077_001E,B03002_003E,B03002_004E,B02001_004E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,state,county,tract
06075013300,2013,"Census Tract 133, San Francisco County, California",4314.0,128125.0,1000001.0,3198.0,50.0,0.0,542.0,0.0,0.0,153.0,371.0,06,075,013300
06075013400,2013,"Census Tract 134, San Francisco County, California",3635.0,106364.0,1000001.0,2697.0,137.0,18.0,322.0,16.0,0.0,84.0,379.0,06,075,013400
06075013500,2013,"Census Tract 135, San Francisco County, California",2569.0,100136.0,1000001.0,1919.0,50.0,0.0,326.0,3.0,0.0,78.0,193.0,06,075,013500
06075015100,2013,"Census Tract 151, San Francisco County, California",2067.0,88854.0,603100.0,1226.0,12.0,0.0,609.0,0.0,0.0,61.0,159.0,06,075,015100
06075015200,2013,"Census Tract 152, San Francisco County, California",3966.0,66403.0,780100.0,2580.0,110.0,0.0,941.0,0.0,0.0,97.0,238.0,06,075,015200
06075015300,2013,"Census Tract 153, San Francisco County, California",2193.0,95000.0,1000001.0,1424.0,101.0,0.0,355.0,0.0,0.0,34.0,279.0,06,075,015300
06075015400,2013,"Census Tract 154, San Francisco County, California",5937.0,97195.0,908200.0,3535.0,173.0,0.0,1706.0,0.0,0.0,118.0,405.0,06,075,015400
06075015500,2013,"Census Tract 155, San Francisco County, California",3939.0,56835.0,609500.0,1859.0,315.0,0.0,1189.0,0.0,31.0,112.0,433.0,06,075,015500
06075015600,2013,"Census Tract 156, San Francisco County, California",2762.0,76275.0,948600.0,1463.0,52.0,0.0,978.0,0.0,0.0,178.0,91.0,06,075,015600
06075015700,2013,"Census Tract 157, San Francisco County, California",7557.0,82759.0,840400.0,3843.0,594.0,0.0,1977.0,44.0,0.0,195.0,904.0,06,075,015700
06075015801,2013,"Census Tract 158.01, San Francisco County, California",3847.0,61500.0,552200.0,1630.0,1303.0,0.0,442.0,0.0,0.0,144.0,328.0,06,075,015801
06075015802,2013,"Census Tract 158.02, San Francisco County, California",2849.0,85484.0,875000.0,1832.0,259.0,32.0,347.0,13.0,0.0,63.0,335.0,06,075,015802
06075015900,2013,"Census Tract 159, San Francisco County, California",4404.0,32457.0,521800.0,1454.0,698.0,0.0,1716.0,0.0,35.0,83.0,418.0,06,075,015900
06075016000,2013,"Census Tract 160, San Francisco County, California",2447.0,57434.0,539100.0,1139.0,46.0,16.0,812.0,0.0,32.0,119.0,283.0,06,075,016000
06075016100,2013,"Census Tract 161, San Francisco County, California",4907.0,19790.0,494400.0,1043.0,1811.0,31.0,1209.0,0.0,92.0,257.0,464.0,06,075,016100
06075016200,2013,"Census Tract 162, San Francisco County, California",2391.0,46205.0,672300.0,1555.0,103.0,0.0,313.0,12.0,26.0,69.0,313.0,06,075,016200
06075016300,2013,"Census Tract 163, San Francisco County, California",4674.0,69856.0,682500.0,2093.0,942.0,12.0,670.0,0.0,9.0,222.0,738.0,06,075,016300
06075016400,2013,"Census Tract 164, San Francisco County, California",4023.0,76798.0,794200.0,2483.0,421.0,17.0,321.0,0.0,7.0,244.0,543.0,06,075,016400
06075016500,2013,"Census Tract 165, San Francisco County, California",5289.0,81354.0,790300.0,3728.0,170.0,40.0,467.0,16.0,1.0,250.0,617.0,06,075,016500
06075016600,2013,"Census Tract 166, San Francisco County, California",5639.0,81078.0,911500.0,3967.0,229.0,0.0,621.0,117.0,40.0,297.0,368.0,06,075,016600
06075016700,2013,"Census Tract 167, San Francisco County, California",4895.0,117761.0,1000001.0,3681.0,83.0,8.0,554.0,0.0,0.0,113.0,456.0,06,075,016700
06075016801,2013,"Census Tract 168.01, San Francisco County, California",3610.0,84082.0,754700.0,2064.0,472.0,80.0,457.0,62.0,43.0,65.0,429.0,06,075,016801
06075016802,2013,"Census Tract 168.02, San Francisco County, California",3089.0,62204.0,682500.0,1831.0,593.0,40.0,246.0,20.0,0.0,92.0,267.0,06,075,016802
06075016900,2013,"Census Tract 169, San Francisco County, California",3113.0,103529.0,868500.0,2336.0,79.0,0.0,255.0,31.0,0.0,106.0,306.0,06,075,016900
06075017000,2013,"Census Tract 170, San Francisco County, California",3641.0,113152.0,1000001.0,2782.0,172.0,0.0,374.0,0.0,25.0,31.0,257.0,06,075,017000
06075017101,2013,"Census Tract 171.01, San Francisco County, California",3453.0,119186.0,1000001.0,2744.0,125.0,0.0,167.0,0.0,0.0,198.0,219.0,06,075,017101
06075017102,2013,"Census Tract 171.02, San Francisco County, California",3728.0,111734.0,1000001.0,2922.0,93.0,0.0,187.0,0.0,0.0,94.0,432.0,06,075,017102
06075017601,2013,"Census Tract 176.01, San Francisco County, California",6964.0,24164.0,540400.0,1829.0,1023.0,94.0,3165.0,39.0,64.0,374.0,423.0,06,075,017601
06075017700,2013,"Census Tract 177, San Francisco County, California",1534.0,89500.0,732800.0,745.0,25.0,42.0,224.0,0.0,0.0,22.0,510.0,06,075,017700
06075017801,2013,"Census Tract 178.01, San Francisco County, California",3042.0,14688.0,623400.0,644.0,142.0,0.0,2123.0,0.0,0.0,56.0,77.0,06,075,017801
06075017802,2013,"Census Tract 178.02, San Francisco County, California",4175.0,76685.0,623900.0,2085.0,302.0,0.0,877.0,0.0,141.0,142.0,628.0,06,075,017802
06075017902,2013,"Census Tract 179.02, San Francisco County, California",2654.0,37500.0,-666666666.0,836.0,609.0,26.0,480.0,17.0,0.0,122.0,590.0,06,075,017902
06075018000,2013,"Census Tract 180, San Francisco County, California",3616.0,122500.0,748000.0,1469.0,657.0,29.0,608.0,20.0,0.0,140.0,705.0,06,075,018000
