geoid,year,NAME,B01001_001E,B19013_001E,B25077_001E,B03002_003E,B03002_004E,B02001_004E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,state,county,tract
06075015600,2018,"Census Tract 156, San Francisco County, California",3432.0,95000.0,1209200.0,1585.0,71.0,0.0,1116.0,0.0,0.0,224.0,436.0,06,075,015600
06075010200,2018,"Census Tract 102, San Francisco County, California",4299.0,134176.0,1142500.0,3364.0,60.0,0.0,574.0,0.0,0.0,155.0,146.0,06,075,010200
06075010800,2018,"Census Tract 108, San Francisco County, California",4860.0,102243.0,1445700.0,2209.0,0.0,0.0,2129.0,0.0,20.0,127.0,375.0,06,075,010800
06075033100,2018,"Census Tract 331, San Francisco County, California",3861.0,114783.0,1197700.0,1433.0,16.0,0.0,1967.0,0.0,0.0,228.0,217.0,06,075,033100
06075040200,2018,"Census Tract 402, San Francisco County, California",5541.0,105507.0,1618000.0,3174.0,0.0,0.0,1785.0,0.0,15.0,151.0,416.0,06,075,040200
06075042800,2018,"Census Tract 428, San Francisco County, California",2490.0,164750.0,2000001.0,1797.0,0.0,0.0,471.0,0.0,10.0,132.0,80.0,06,075,042800
06075023400,2018,"Census Tract 234, San Francisco County, California",3663.0,41724.0,615200.0,134.0,732.0,0.0,724.0,143.0,81.0,286.0,1563.0,06,075,023400
06075016500,2018,"Census Tract 165, San Francisco County, California",5487.0,132750.0,1215900.0,3647.0,373.0,0.0,603.0,0.0,45.0,302.0,517.0,06,075,016500
06075030700,2018,"Census Tract 307, San Francisco County, California",7022.0,146618.0,1148300.0,3586.0,272.0,46.0,1835.0,0.0,103.0,427.0,779.0,06,075,030700
06075035100,2018,"Census Tract 351, San Francisco County, California",9053.0,121156.0,985400.0,2890.0,133.0,31.0,4546.0,0.0,18.0,822.0,613.0,06,075,035100
06075013000,2018,"Census Tract 130, San Francisco County, California",4863.0,161397.0,2000001.0,4074.0,0.0,36.0,420.0,0.0,0.0,158.0,175.0,06,075,013000
06075026002,2018,"Census Tract 260.02, San Francisco County, California",3527.0,100000.0,789000.0,780.0,190.0,6.0,1453.0,0.0,26.0,132.0,940.0,06,075,026002
06075026402,2018,"Census Tract 264.02, San Francisco County, California",5164.0,82010.0,789400.0,432.0,422.0,18.0,2361.0,0.0,0.0,223.0,1708.0,06,075,026402
