geoid,year,NAME,B01001_001E,B19013_001E,B25077_001E,B03002_003E,B03002_004E,B02001_004E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,state,county,tract
06075010100,2015,"Census Tract 101, San Francisco County, California",3798.0,61442.0,789700.0,1787.0,53.0,0.0,1284.0,0.0,9.0,217.0,448.0,06,075,010100
06075010200,2015,"Census Tract 102, San Francisco County, California",4172.0,117986.0,1147300.0,3479.0,0.0,0.0,401.0,0.0,0.0,158.0,134.0,06,075,010200
06075010300,2015,"Census Tract 103, San Francisco County, California",4387.0,87721.0,1098900.0,2319.0,0.0,0.0,1624.0,0.0,0.0,53.0,391.0,06,075,010300
06075010400,2015,"Census Tract 104, San Francisco County, California",5148.0,103328.0,1058000.0,2995.0,0.0,0.0,1412.0,0.0,0.0,296.0,445.0,06,075,010400
06075010500,2015,"Census Tract 105, San Francisco County, California",2589.0,105000.0,901400.0,1307.0,51.0,0.0,804.0,21.0,24.0,240.0,142.0,06,075,010500
06075010600,2015,"Census Tract 106, San Francisco County, California",3604.0,34808.0,1052800.0,1213.0,55.0,0.0,2092.0,0.0,0.0,32.0,212.0,06,075,010600
06075010700,2015,"Census Tract 107, San Francisco County, California",5302.0,22260.0,1225000.0,1133.0,0.0,0.0,3998.0,0.0,0.0,0.0,171.0,06,075,010700
06075010800,2015,"Census Tract 108, San Francisco County, California",5065.0,85785.0,990500.0,2089.0,0.0,11.0,2411.0,0.0,0.0,144.0,410.0,06,075,010800
06075010900,2015,"Census Tract 109, San Francisco County, California",4535.0,113015.0,953100.0,3070.0,100.0,0.0,1249.0,0.0,10.0,28.0,78.0,06,075,010900
06075011000,2015,"Census Tract 110, San Francisco County, California",5085.0,109090.0,693500.0,2249.0,70.0,0.0,2227.0,0.0,0.0,185.0,354.0,06,075,011000
06075011100,2015,"Census Tract 111, San Francisco County, California",4940.0,72500.0,760300.0,2994.0,207.0,0.0,1217.0,0.0,0.0,79.0,443.0,06,075,011100
06075011200,2015,"Census Tract 112, San Francisco County, California",3281.0,78690.0,1248000.0,1740.0,60.0,0.0,1114.0,70.0,0.0,99.0,198.0,06,075,011200
06075011300,2015,"Census Tract 113, San Francisco County, California",2885.0,24781.0,908500.0,538.0,76.0,37.0,2102.0,9.0,0.0,85.0,71.0,06,075,011300
06075011700,2015,"Census Tract 117, San Francisco County, California",1635.0,34914.0,1125000.0,530.0,105.0,0.0,723.0,0.0,0.0,30.0,247.0,06,075,011700
06075011800,2015,"Census Tract 118, San Francisco County, California",1622.0,20478.0,-666666666.0,150.0,3.0,21.0,1339.0,0.0,0.0,11.0,104.0,06,075,011800
06075011901,2015,"Census Tract 119.01, San Francisco County, California",2561.0,59981.0,628100.0,1376.0,110.0,25.0,715.0,0.0,25.0,83.0,252.0,06,075,011901
06075011902,2015,"Census Tract 119.02, San Francisco County, California",2786.0,66352.0,487500.0,1316.0,59.0,0.0,902.0,0.0,0.0,119.0,390.0,06,075,011902
06075012000,2015,"Census Tract 120, San Francisco County, California",3776.0,38930.0,,1626.0,216.0,0.0,1455.0,0.0,13.0,221.0,245.0,06,075,012000
06075012100,2015,"Census Tract 121, San Francisco County, California",3973.0,51676.0,470800.0,1785.0,112.0,26.0,1099.0,0.0,0.0,183.0,782.0,06,075,012100
06075012201,2015,"Census Tract 122.01, San Francisco County, California",4845.0,41677.0,389100.0,1776.0,317.0,0.0,1248.0,0.0,116.0,225.0,1163.0,06,075,012201
06075012202,2015,"Census Tract 122.02, San Francisco County, California",3295.0,29896.0,1012500.0,1166.0,646.0,27.0,570.0,11.0,0.0,95.0,807.0,06,075,012202
06075012301,2015,"Census Tract 123.01, San Francisco County, California",1996.0,13909.0,-666666666.0,614.0,166.0,22.0,572.0,0.0,0.0,68.0,554.0,06,075,012301
06075012302,2015,"Census Tract 123.02, San Francisco County, California",2468.0,34189.0,-666666666.0,960.0,154.0,0.0,926.0,0.0,0.0,81.0,347.0,06,075,012302
06075012401,2015,"Census Tract 124.01, San Francisco County, California",4787.0,20332.0,-666666666.0,1335.0,253.0,17.0,1168.0,37.0,232.0,65.0,1697.0,06,075,012401
06075012402,2015,"Census Tract 124.02, San Francisco County, California",3600.0,38333.0,375900.0,1409.0,234.0,0.0,1245.0,0.0,138.0,79.0,495.0,06,075,012402
06075012501,2015,"Census Tract 125.01, San Francisco County, California",3728.0,16902.0,,986.0,537.0,66.0,1551.0,0.0,0.0,17.0,571.0,06,075,012501
06075012502,2015,"Census Tract 125.02, San Francisco County, California",4101.0,11925.0,-666666666.0,616.0,440.0,90.0,1678.0,0.0,38.0,194.0,1045.0,06,075,012502
06075012601,2015,"Census Tract 126.01, San Francisco County, California",2334.0,101875.0,1496200.0,1735.0,14.0,0.0,242.0,0.0,0.0,0.0,343.0,06,075,012601
06075012602,2015,"Census Tract 126.02, San Francisco County, California",2943.0,128750.0,1615200.0,2437.0,0.0,0.0,295.0,0.0,0.0,85.0,126.0,06,075,012602
