geoid,year,NAME,B01001_001E,B19013_001E,B25077_001E,B03002_003E,B03002_004E,B02001_004E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,B06009_005E,B15001_017E,B15001_050E,state,county,tract
34003001000,2010,"Census Tract 10, Bergen County, New Jersey",6489.0,131563.0,741400.0,5523.0,73.0,0.0,676.0,0.0,50.0,41.0,126.0,1584.0,66.0,81.0,34,003,001000
34003002100,2010,"Census Tract 21, Bergen County, New Jersey",1926.0,172054.0,1000001.0,1217.0,31.0,7.0,509.0,0.0,0.0,9.0,153.0,620.0,40.0,22.0,34,003,002100
34003002200,2010,"Census Tract 22, Bergen County, New Jersey",5104.0,87270.0,530300.0,3518.0,13.0,0.0,1136.0,0.0,18.0,40.0,379.0,783.0,120.0,73.0,34,003,002200
34003002300,2010,"Census Tract 23, Bergen County, New Jersey",5682.0,102132.0,720800.0,3690.0,95.0,0.0,1782.0,0.0,0.0,35.0,80.0,1462.0,55.0,30.0,34,003,002300
34003003100,2010,"Census Tract 31, Bergen County, New Jersey",5095.0,91106.0,367300.0,2152.0,346.0,0.0,1498.0,0.0,0.0,45.0,1054.0,912.0,103.0,102.0,34,003,003100
34003003200,2010,"Census Tract 32, Bergen County, New Jersey",3966.0,57621.0,352600.0,1570.0,132.0,0.0,1121.0,0.0,75.0,36.0,1032.0,912.0,145.0,28.0,34,003,003200
34003003300,2010,"Census Tract 33, Bergen County, New Jersey",6664.0,95948.0,384000.0,3131.0,272.0,0.0,1717.0,0.0,0.0,188.0,1356.0,1133.0,34.0,0.0,34,003,003300
34003003401,2010,"Census Tract 34.01, Bergen County, New Jersey",3049.0,102841.0,397000.0,1779.0,59.0,0.0,544.0,0.0,0.0,97.0,570.0,510.0,53.0,11.0,34,003,003401
34003003402,2010,"Census Tract 34.02, Bergen County, New Jersey",3713.0,102135.0,404300.0,2413.0,163.0,0.0,791.0,0.0,8.0,62.0,276.0,689.0,100.0,65.0,34,003,003402
34003003500,2010,"Census Tract 35, Bergen County, New Jersey",4030.0,53622.0,399300.0,1381.0,411.0,0.0,934.0,0.0,0.0,114.0,1190.0,696.0,61.0,51.0,34,003,003500
34003004001,2010,"Census Tract 40.01, Bergen County, New Jersey",3196.0,66681.0,392000.0,1300.0,187.0,0.0,395.0,0.0,129.0,16.0,1169.0,340.0,99.0,94.0,34,003,004001
34003004002,2010,"Census Tract 40.02, Bergen County, New Jersey",4962.0,82100.0,361600.0,2589.0,287.0,0.0,700.0,0.0,15.0,16.0,1355.0,682.0,70.0,16.0,34,003,004002
34003005000,2010,"Census Tract 50, Bergen County, New Jersey",6060.0,62255.0,421700.0,4613.0,0.0,0.0,750.0,0.0,0.0,0.0,697.0,888.0,152.0,13.0,34,003,005000
34003006100,2010,"Census Tract 61, Bergen County, New Jersey",5943.0,53862.0,466500.0,3399.0,108.0,0.0,722.0,0.0,14.0,30.0,1670.0,1155.0,152.0,21.0,34,003,006100
34003006201,2010,"Census Tract 62.01, Bergen County, New Jersey",5062.0,75593.0,522900.0,3634.0,97.0,0.0,530.0,0.0,0.0,26.0,775.0,890.0,140.0,42.0,34,003,006201
34003006202,2010,"Census Tract 62.02, Bergen County, New Jersey",4835.0,86406.0,416200.0,3003.0,167.0,16.0,854.0,0.0,0.0,18.0,777.0,1303.0,81.0,0.0,34,003,006202
34003006300,2010,"Census Tract 63, Bergen County, New Jersey",7525.0,68372.0,390900.0,3726.0,51.0,0.0,348.0,0.0,0.0,114.0,3286.0,1311.0,205.0,31.0,34,003,006300
34003007001,2010,"Census Tract 70.01, Bergen County, New Jersey",3847.0,102348.0,611400.0,2380.0,63.0,0.0,958.0,0.0,0.0,25.0,421.0,922.0,64.0,9.0,34,003,007001
34003007002,2010,"Census Tract 70.02, Bergen County, New Jersey",4471.0,124865.0,792500.0,2661.0,75.0,0.0,1539.0,0.0,0.0,7.0,189.0,1058.0,76.0,33.0,34,003,007002
34003008000,2010,"Census Tract 80, Bergen County, New Jersey",8380.0,105625.0,592800.0,5917.0,0.0,0.0,1625.0,0.0,0.0,0.0,838.0,2019.0,49.0,16.0,34,003,008000
34003009100,2010,"Census Tract 91, Bergen County, New Jersey",4850.0,147714.0,744300.0,3377.0,0.0,0.0,1293.0,0.0,10.0,13.0,157.0,1056.0,41.0,9.0,34,003,009100
34003009200,2010,"Census Tract 92, Bergen County, New Jersey",3374.0,135694.0,737000.0,2812.0,73.0,0.0,399.0,0.0,0.0,44.0,46.0,777.0,40.0,0.0,34,003,009200
