geoid,year,NAME,B01001_001E,B19013_001E,B25077_001E,B03002_003E,B03002_004E,B02001_004E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,B08126_003E,B08126_006E,B08126_008E,B08126_009E,B08126_011E,B08126_012E,B08126_014E,B08126_015E,B06009_005E,B15001_017E,B15001_050E,state,county,tract
06075016300,2011,"Census Tract 163, San Francisco County, California",4661.0,64896.0,692200.0,2212.0,822.0,26.0,533.0,0.0,48.0,106.0,940.0,51.0,242.0,124.0,87.0,737.0,867.0,26.0,0.0,1296.0,304.0,99.0,06,075,016300
06075016400,2011,"Census Tract 164, San Francisco County, California",4134.0,72355.0,804600.0,2312.0,673.0,44.0,329.0,0.0,0.0,141.0,679.0,98.0,189.0,191.0,228.0,429.0,269.0,57.0,0.0,1472.0,299.0,62.0,06,075,016400
06075016500,2011,"Census Tract 165, San Francisco County, California",5098.0,77955.0,832000.0,3662.0,106.0,29.0,440.0,13.0,65.0,188.0,595.0,86.0,115.0,118.0,287.0,605.0,396.0,77.0,0.0,1712.0,348.0,164.0,06,075,016500
06075016600,2011,"Census Tract 166, San Francisco County, California",5109.0,74261.0,967900.0,3815.0,380.0,0.0,395.0,108.0,10.0,155.0,246.0,68.0,458.0,365.0,238.0,612.0,312.0,154.0,0.0,1674.0,362.0,110.0,06,075,016600
06075016700,2011,"Census Tract 167, San Francisco County, California",4957.0,88070.0,946600.0,3192.0,426.0,6.0,617.0,0.0,12.0,130.0,574.0,113.0,250.0,264.0,316.0,691.0,571.0,149.0,5.0,1581.0,538.0,185.0,06,075,016700
06075016801,2011,"Census Tract 168.01, San Francisco County, California",3166.0,77611.0,806300.0,1793.0,513.0,52.0,320.0,33.0,53.0,122.0,320.0,146.0,186.0,235.0,78.0,428.0,180.0,59.0,0.0,969.0,394.0,119.0,06,075,016801
06075016802,2011,"Census Tract 168.02, San Francisco County, California",3205.0,49755.0,689900.0,1704.0,643.0,2.0,362.0,7.0,0.0,109.0,379.0,34.0,139.0,202.0,46.0,522.0,458.0,147.0,0.0,934.0,151.0,0.0,06,075,016802
06075016900,2011,"Census Tract 169, San Francisco County, California",3226.0,84271.0,841600.0,2311.0,133.0,0.0,335.0,21.0,0.0,106.0,320.0,103.0,325.0,153.0,132.0,490.0,96.0,73.0,0.0,1102.0,273.0,51.0,06,075,016900
06075017000,2011,"Census Tract 170, San Francisco County, California",3634.0,105185.0,957900.0,2712.0,213.0,0.0,294.0,0.0,19.0,108.0,288.0,32.0,286.0,110.0,203.0,470.0,160.0,97.0,0.0,1391.0,259.0,27.0,06,075,017000
06075017101,2011,"Census Tract 171.01, San Francisco County, California",3463.0,120913.0,1000001.0,2567.0,169.0,0.0,206.0,0.0,14.0,237.0,270.0,0.0,88.0,201.0,231.0,606.0,76.0,0.0,0.0,1263.0,308.0,50.0,06,075,017101
06075017102,2011,"Census Tract 171.02, San Francisco County, California",3875.0,109153.0,894800.0,2938.0,277.0,0.0,155.0,0.0,0.0,104.0,401.0,104.0,256.0,341.0,172.0,820.0,168.0,86.0,0.0,1806.0,365.0,58.0,06,075,017102
06075017601,2011,"Census Tract 176.01, San Francisco County, California",6682.0,23330.0,541700.0,1826.0,1268.0,61.0,2694.0,58.0,52.0,161.0,602.0,90.0,342.0,170.0,164.0,497.0,646.0,80.0,21.0,1139.0,316.0,88.0,06,075,017601
06075017700,2011,"Census Tract 177, San Francisco County, California",1363.0,90625.0,636400.0,747.0,41.0,22.0,81.0,0.0,0.0,28.0,458.0,59.0,38.0,43.0,67.0,231.0,172.0,15.0,0.0,363.0,70.0,0.0,06,075,017700
06075017801,2011,"Census Tract 178.01, San Francisco County, California",3113.0,16812.0,615100.0,820.0,153.0,5.0,1953.0,0.0,0.0,91.0,91.0,14.0,75.0,64.0,92.0,179.0,121.0,80.0,0.0,730.0,225.0,11.0,06,075,017801
06075017802,2011,"Census Tract 178.02, San Francisco County, California",3896.0,93281.0,643000.0,2032.0,275.0,0.0,999.0,0.0,0.0,102.0,488.0,48.0,345.0,142.0,93.0,357.0,261.0,24.0,0.0,884.0,260.0,219.0,06,075,017802
06075017902,2011,"Census Tract 179.02, San Francisco County, California",2300.0,35417.0,-666666666.0,980.0,345.0,10.0,503.0,0.0,13.0,31.0,418.0,47.0,175.0,6.0,35.0,206.0,201.0,7.0,42.0,424.0,150.0,31.0,06,075,017902
06075018000,2011,"Census Tract 180, San Francisco County, California",3395.0,112670.0,700900.0,1368.0,639.0,5.0,660.0,11.0,0.0,216.0,496.0,9.0,142.0,127.0,255.0,141.0,218.0,23.0,0.0,875.0,181.0,8.0,06,075,018000
06075020100,2011,"Census Tract 201, San Francisco County, California",5755.0,36086.0,633000.0,1621.0,428.0,276.0,1286.0,0.0,0.0,105.0,2299.0,249.0,209.0,67.0,386.0,317.0,667.0,24.0,0.0,1155.0,225.0,17.0,06,075,020100
06075020200,2011,"Census Tract 202, San Francisco County, California",5629.0,55806.0,683900.0,2891.0,423.0,43.0,945.0,11.0,10.0,95.0,1211.0,158.0,414.0,157.0,223.0,651.0,523.0,64.0,0.0,1636.0,456.0,149.0,06,075,020200
06075020300,2011,"Census Tract 203, San Francisco County, California",2945.0,109803.0,751300.0,2217.0,49.0,21.0,312.0,10.0,28.0,81.0,227.0,54.0,293.0,158.0,107.0,556.0,223.0,56.0,0.0,1164.0,279.0,19.0,06,075,020300
06075020401,2011,"Census Tract 204.01, San Francisco County, California",2948.0,120919.0,931100.0,2509.0,16.0,0.0,274.0,0.0,0.0,31.0,118.0,94.0,305.0,50.0,267.0,481.0,248.0,77.0,0.0,1123.0,128.0,38.0,06,075,020401
06075020402,2011,"Census Tract 204.02, San Francisco County, California",3726.0,85424.0,807800.0,2681.0,71.0,0.0,618.0,0.0,0.0,139.0,217.0,10.0,190.0,107.0,245.0,581.0,70.0,9.0,0.0,1329.0,178.0,0.0,06,075,020402
06075020500,2011,"Census Tract 205, San Francisco County, California",2515.0,94116.0,1000001.0,1921.0,38.0,0.0,255.0,0.0,12.0,76.0,213.0,16.0,132.0,112.0,263.0,285.0,188.0,55.0,0.0,902.0,77.0,98.0,06,075,020500
06075020600,2011,"Census Tract 206, San Francisco County, California",4619.0,108828.0,1000001.0,3506.0,95.0,35.0,230.0,1.0,16.0,74.0,662.0,21.0,431.0,314.0,289.0,513.0,211.0,136.0,0.0,1743.0,310.0,0.0,06,075,020600
06075020700,2011,"Census Tract 207, San Francisco County, California",5595.0,89640.0,1000001.0,3921.0,55.0,25.0,382.0,0.0,0.0,262.0,950.0,67.0,340.0,383.0,217.0,584.0,364.0,212.0,0.0,1960.0,399.0,79.0,06,075,020700
06075020800,2011,"Census Tract 208, San Francisco County, California",6406.0,49661.0,847200.0,2088.0,162.0,108.0,672.0,0.0,35.0,56.0,3337.0,353.0,366.0,134.0,125.0,566.0,1006.0,36.0,0.0,1435.0,516.0,163.0,06,075,020800
