geoid,year,NAME,B01001_001E,B19013_001E,B25077_001E,B03002_003E,B03002_004E,B02001_004E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,B08126_003E,B08126_006E,B08126_008E,B08126_009E,B08126_011E,B08126_012E,B08126_014E,B08126_015E,B06009_005E,B15001_017E,B15001_050E,state,county,tract
06013333102,2012,"Census Tract 3331.02, Contra Costa County, California",4089.0,69662.0,418600.0,2779.0,51.0,26.0,701.0,0.0,0.0,80.0,452.0,94.0,226.0,21.0,258.0,386.0,181.0,46.0,0.0,560.0,67.0,0.0,06,013,333102
06013333200,2012,"Census Tract 3332, Contra Costa County, California",5942.0,89375.0,427700.0,3656.0,79.0,40.0,487.0,28.0,12.0,157.0,1523.0,92.0,239.0,41.0,436.0,506.0,297.0,63.0,0.0,850.0,42.0,15.0,06,013,333200
06013334001,2012,"Census Tract 3340.01, Contra Costa County, California",3533.0,53284.0,375300.0,2077.0,260.0,39.0,386.0,0.0,10.0,103.0,658.0,69.0,175.0,66.0,179.0,395.0,123.0,89.0,0.0,553.0,18.0,0.0,06,013,334001
06013334004,2012,"Census Tract 3340.04, Contra Costa County, California",6982.0,69570.0,288300.0,3800.0,309.0,0.0,1365.0,0.0,26.0,293.0,1189.0,162.0,451.0,118.0,490.0,740.0,170.0,258.0,7.0,1290.0,188.0,46.0,06,013,334004
06013334006,2012,"Census Tract 3340.06, Contra Costa County, California",4939.0,117444.0,507400.0,3002.0,44.0,0.0,1143.0,0.0,34.0,280.0,436.0,65.0,330.0,58.0,291.0,537.0,125.0,144.0,0.0,1196.0,63.0,59.0,06,013,334006
06013334200,2012,"Census Tract 3342, Contra Costa County, California",7523.0,109447.0,868200.0,5350.0,73.0,0.0,682.0,0.0,46.0,261.0,1111.0,134.0,397.0,84.0,573.0,638.0,87.0,57.0,0.0,2073.0,228.0,39.0,06,013,334200
06013335000,2012,"Census Tract 3350, Contra Costa County, California",3444.0,72143.0,377800.0,2047.0,17.0,32.0,393.0,16.0,0.0,128.0,833.0,111.0,316.0,46.0,103.0,286.0,63.0,81.0,5.0,397.0,15.0,0.0,06,013,335000
06013336101,2012,"Census Tract 3361.01, Contra Costa County, California",4323.0,40995.0,255900.0,847.0,306.0,0.0,433.0,0.0,0.0,141.0,2596.0,161.0,128.0,0.0,122.0,159.0,663.0,34.0,14.0,314.0,107.0,4.0,06,013,336101
06013336102,2012,"Census Tract 3361.02, Contra Costa County, California",7218.0,41446.0,166500.0,1537.0,456.0,0.0,803.0,0.0,25.0,134.0,4263.0,259.0,455.0,28.0,250.0,387.0,897.0,19.0,0.0,488.0,41.0,53.0,06,013,336102
06013336201,2012,"Census Tract 3362.01, Contra Costa County, California",4011.0,68442.0,288800.0,1079.0,3.0,0.0,385.0,113.0,38.0,157.0,2236.0,231.0,435.0,81.0,160.0,305.0,157.0,11.0,10.0,340.0,106.0,12.0,06,013,336201
06013336202,2012,"Census Tract 3362.02, Contra Costa County, California",5978.0,31160.0,229700.0,564.0,247.0,0.0,117.0,473.0,0.0,69.0,4508.0,508.0,142.0,1.0,45.0,245.0,644.0,16.0,0.0,187.0,0.0,0.0,06,013,336202
06013337100,2012,"Census Tract 3371, Contra Costa County, California",3189.0,97946.0,534700.0,1990.0,96.0,1.0,392.0,0.0,0.0,25.0,685.0,149.0,130.0,40.0,139.0,508.0,78.0,121.0,0.0,695.0,52.0,9.0,06,013,337100
06013337200,2012,"Census Tract 3372, Contra Costa County, California",7314.0,54203.0,314400.0,4054.0,362.0,118.0,827.0,53.0,294.0,58.0,1568.0,237.0,395.0,150.0,382.0,696.0,276.0,115.0,0.0,1295.0,82.0,0.0,06,013,337200
06013337300,2012,"Census Tract 3373, Contra Costa County, California",6062.0,121915.0,637600.0,3913.0,99.0,28.0,825.0,91.0,13.0,300.0,821.0,116.0,279.0,97.0,392.0,661.0,49.0,176.0,0.0,1293.0,99.0,49.0,06,013,337300
06013338101,2012,"Census Tract 3381.01, Contra Costa County, California",4186.0,53621.0,274100.0,2172.0,181.0,0.0,667.0,35.0,0.0,149.0,982.0,150.0,227.0,79.0,171.0,410.0,165.0,107.0,0.0,477.0,66.0,49.0,06,013,338101
06013338102,2012,"Census Tract 3381.02, Contra Costa County, California",3953.0,98393.0,478800.0,2562.0,56.0,0.0,560.0,0.0,0.0,207.0,568.0,87.0,74.0,86.0,203.0,418.0,211.0,73.0,0.0,766.0,27.0,14.0,06,013,338102
